Date,Price,Open,High,Low,Vol.,Change %
2014-01-09,388.2,481.8,498.5,372.6,295.62K,-19.43%
2014-01-08,481.8,589.5,608.2,450,126.17K,-18.28%
2014-01-07,589.5,635.1,652.5,564,107.22K,-7.18%
2014-01-06,635.1,627.9,676.5,560.8,111.81K,1.15%
2014-01-05,627.9,445.6,629,420.2,85.75K,40.90%
2014-01-04,445.6,444.7,549,355.7,161.16K,0.22%
2014-01-03,444.7,573.9,695.4,262.8,94.27K,-22.53%
2014-01-02,573.9,938.8,969.2,91.7,996.35K,-38.87%
2014-01-01,938.8,805.9,1093.4,771,306.25K,16.49%
2013-01-12,805.9,1205.7,1239.9,454.9,920.80K,-33.15%
2013-01-11,1205.7,211.2,1241.9,209.7,1.13M,470.94%
2013-01-10,211.2,141.9,233.4,109.7,753.58K,48.82%
2013-01-09,141.9,141,148.9,121.3,451.29K,0.64%
2013-01-08,141,106.2,148.7,101,604.91K,32.76%
2013-01-07,106.2,97.5,111.7,65.4,1.14M,8.92%
2013-01-06,97.5,128.8,130.1,88,1.05M,-24.31%
2013-01-05,128.8,139.2,140.1,79,2.07M,-7.48%
2013-01-04,139.2,93,266,50,4.73M,49.66%
2013-01-03,93,33.4,95.7,32.9,2.12M,178.70%
2013-01-02,33.4,20.4,34.5,18,1.58M,63.55%
2013-01-01,20.4,13.5,21.4,13.2,1.46M,51.07%
2012-01-12,13.5,12.6,13.9,12.4,876.92K,7.48%
2012-01-11,12.6,11.2,12.6,10.3,804.19K,12.23%
2012-01-10,11.2,12.4,13.1,9.7,1.15M,-9.68%
2012-01-09,12.4,10.2,12.7,9.7,959.78K,22.05%
2012-01-08,10.2,9.4,15.4,7.6,2.45M,8.66%
2012-01-07,9.4,6.7,9.7,6.4,1.90M,39.76%
2012-01-06,6.7,5.2,6.8,5.2,1.38M,29.15%
2012-01-05,5.2,4.9,5.2,4.8,1.24M,4.65%
2012-01-04,4.9,4.9,5.5,4.6,1.66M,0.00%
2012-01-03,4.9,4.9,5.4,4.3,1.76M,0.00%
2012-01-02,4.9,5.5,6.2,3.9,2.84M,-11.31%
2012-01-01,5.5,4.7,7.2,4.6,3.21M,16.10%
2011-01-12,4.7,3,5,2.6,1.90M,58.92%
2011-01-11,3,3.3,3.4,2,1.97M,-8.62%
2011-01-10,3.3,5.1,5.3,2,1.73M,-36.77%
2011-01-09,5.1,8.2,8.7,4.2,1.49M,-37.32%
2011-01-08,8.2,13.4,13.6,5.7,1.22M,-38.58%
2011-01-07,13.4,16.1,16.7,11,1.05M,-17.08%
2011-01-06,16.1,8.7,31.9,8.3,1.36M,84.21%
2011-01-05,8.7,3.5,9.5,2.5,949.02K,149.71%
2011-01-04,3.5,0.8,4.2,0.6,868.76K,346.09%
2011-01-03,0.8,0.9,1,0.7,243.30K,-8.77%
2011-01-02,0.9,0.5,1.1,0.5,367.30K,65.38%
2011-01-01,0.5,0.3,0.9,0.3,377.75K,73.33%
2010-01-12,0.3,0.2,0.3,0.2,263.65K,44.09%
2010-01-11,0.2,0.2,0.5,0.1,826.25K,0.00%
2010-01-10,0.2,0.1,0.2,0,1.11M,210.99%
2010-01-09,0.1,0.1,0.2,0.1,216.81K,0.00%
2010-01-08,0.1,0.1,0.1,0,221.74K,0.00%
